{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:20:51              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:20:59              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:22:08              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:22:15              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:22:30              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:22:57              
{INFO }  com.carlot.Driver                         Enter your ADDRESS                                  01-Feb-2021 Monday CST 21:23:04              
{INFO }  com.carlot.Driver                         Enter your PHONE number(10 digits without space)    01-Feb-2021 Monday CST 21:23:40              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long LOGIN                       01-Feb-2021 Monday CST 21:23:50              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:23:50              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long PASSWORD                    01-Feb-2021 Monday CST 21:25:22              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:25:22              
{INFO }  com.carlot.Driver                         Some internal error occured. Please contact admin   01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:25:34              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:26:23              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:27:40              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:27:40              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:27:40              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:27:40              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:27:40              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:27:40              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:27:40              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:27:44              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:27:51              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:27:54              
{INFO }  com.carlot.Driver                         Invalid date format                                 01-Feb-2021 Monday CST 21:28:02              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:28:02              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:28:56              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:28:56              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:28:56              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:28:56              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:28:56              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:28:56              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:28:56              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:28:58              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:29:01              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:29:05              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:29:12              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:29:18              
{INFO }  com.carlot.Driver                         Enter your ADDRESS                                  01-Feb-2021 Monday CST 21:29:23              
{INFO }  com.carlot.Driver                         Enter your PHONE number(10 digits without space)    01-Feb-2021 Monday CST 21:29:33              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long LOGIN                       01-Feb-2021 Monday CST 21:29:38              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:29:38              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long PASSWORD                    01-Feb-2021 Monday CST 21:29:45              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:29:45              
{INFO }  com.carlot.Driver                         Some internal error occured. Please contact admin   01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:29:48              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:30:18              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:30:18              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:30:18              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:30:18              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:30:18              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:30:18              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:30:18              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:30:20              
{INFO }  com.carlot.Driver                         nter your LAST NAME                                 01-Feb-2021 Monday CST 21:30:37              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:31:09              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:31:17              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:31:27              
{INFO }  com.carlot.Driver                         Enter your ADDRESS                                  01-Feb-2021 Monday CST 21:31:33              
{INFO }  com.carlot.Driver                         Enter your PHONE number(10 digits without space)    01-Feb-2021 Monday CST 21:32:00              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long LOGIN                       01-Feb-2021 Monday CST 21:32:12              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:32:12              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long PASSWORD                    01-Feb-2021 Monday CST 21:32:24              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:32:24              
{INFO }  com.carlot.Driver                         Some internal error occured. Please contact admin   01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:32:28              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:34:04              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:34:04              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:34:04              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:34:04              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:34:04              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:34:04              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:34:04              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:34:08              
{INFO }  com.carlot.Driver                         Enter your LAST NAME                                01-Feb-2021 Monday CST 21:34:13              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:34:18              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:34:26              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:34:34              
{INFO }  com.carlot.Driver                         Enter your ADDRESS                                  01-Feb-2021 Monday CST 21:34:41              
{INFO }  com.carlot.Driver                         Enter your PHONE number(10 digits without space)    01-Feb-2021 Monday CST 21:35:00              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long LOGIN                       01-Feb-2021 Monday CST 21:35:12              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:35:12              
{INFO }  com.carlot.Driver                         Create new 4 to 12 long PASSWORD                    01-Feb-2021 Monday CST 21:35:19              
{INFO }  com.carlot.Driver                         Numbers or letters only                             01-Feb-2021 Monday CST 21:35:19              
{INFO }  com.carlot.Driver                         Some internal error occured. Please contact admin   01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:35:23              
{INFO }  com.carlot.Driver                                                                             01-Feb-2021 Monday CST 21:35:49              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:35:49              
{INFO }  com.carlot.Driver                             WELCOME TO CAR LOT                              01-Feb-2021 Monday CST 21:35:49              
{INFO }  com.carlot.Driver                         ==============================                      01-Feb-2021 Monday CST 21:35:49              
{INFO }  com.carlot.Driver                           (1) Log in to my account                          01-Feb-2021 Monday CST 21:35:49              
{INFO }  com.carlot.Driver                           (2) New Customer                                  01-Feb-2021 Monday CST 21:35:49              
{INFO }  com.carlot.Driver                           (3) Employee log in                               01-Feb-2021 Monday CST 21:35:49              
{INFO }  com.carlot.Driver                         Enter your FIRST NAME                               01-Feb-2021 Monday CST 21:35:51              
{INFO }  com.carlot.Driver                         Enter your LAST NAME                                01-Feb-2021 Monday CST 21:35:57              
{INFO }  com.carlot.Driver                         Enter your DOB in format yyyy-dd-mm                 01-Feb-2021 Monday CST 21:36:07              
{INFO }  com.carlot.Driver                         Enter your DL                                       01-Feb-2021 Monday CST 21:36:17              
{INFO }  com.carlot.Driver                         Enter your SSN (9 digits without space)             01-Feb-2021 Monday CST 21:36:25              
{INFO }  com.carlot.Driver                         Enter your ADDRESS                                  01-Feb-2021 Monday CST 21:36:30              
{INFO }  com.carlot.Driver                         Enter your PHONE number(10 digits without space)    01-Feb-2021 Monday CST 21:36:46              
